id_question,trial_id,n_options,position,position_label,prob,is_first,is_last
SAFECRIME_W26,baseline,4,0,A,0.2409,True,False
SAFECRIME_W26,baseline,4,1,B,0.2317,False,False
SAFECRIME_W26,baseline,4,2,C,0.3398,False,False
SAFECRIME_W26,baseline,4,3,D,0.1876,False,True
SAFECRIME_W26,permutation_1,4,0,A,0.2315,True,False
SAFECRIME_W26,permutation_1,4,1,B,0.2297,False,False
SAFECRIME_W26,permutation_1,4,2,C,0.3264,False,False
SAFECRIME_W26,permutation_1,4,3,D,0.2124,False,True
SAFECRIME_W26,permutation_2,4,0,A,0.2023,True,False
SAFECRIME_W26,permutation_2,4,1,B,0.2538,False,False
SAFECRIME_W26,permutation_2,4,2,C,0.3415,False,False
SAFECRIME_W26,permutation_2,4,3,D,0.2023,False,True
SAFECRIME_W26,permutation_3,4,0,A,0.2472,True,False
SAFECRIME_W26,permutation_3,4,1,B,0.2322,False,False
SAFECRIME_W26,permutation_3,4,2,C,0.325,False,False
SAFECRIME_W26,permutation_3,4,3,D,0.1956,False,True
WORLDDANGER_W26,baseline,3,0,A,0.4079,True,False
WORLDDANGER_W26,baseline,3,1,B,0.2961,False,False
WORLDDANGER_W26,baseline,3,2,C,0.2961,False,True
WORLDDANGER_W26,permutation_1,3,0,A,0.3716,True,False
WORLDDANGER_W26,permutation_1,3,1,B,0.3154,False,False
WORLDDANGER_W26,permutation_1,3,2,C,0.313,False,True
WORLDDANGER_W26,permutation_2,3,0,A,0.3716,True,False
WORLDDANGER_W26,permutation_2,3,1,B,0.3154,False,False
WORLDDANGER_W26,permutation_2,3,2,C,0.313,False,True
WORLDDANGER_W26,permutation_3,3,0,A,0.3762,True,False
WORLDDANGER_W26,permutation_3,3,1,B,0.307,False,False
WORLDDANGER_W26,permutation_3,3,2,C,0.3168,False,True
WORRYA_W26,baseline,3,0,A,0.5137,True,False
WORRYA_W26,baseline,3,1,B,0.2583,False,False
WORRYA_W26,baseline,3,2,C,0.228,False,True
WORRYA_W26,permutation_1,3,0,A,0.482,True,False
WORRYA_W26,permutation_1,3,1,B,0.262,False,False
WORRYA_W26,permutation_1,3,2,C,0.256,False,True
