id,topic,macro_area,baseline_valid_rate,perm_valid_rate,dup_valid_rate,threat_valid_rate,threat_economic_valid_rate,threat_it_system_valid_rate,threat_legal_valid_rate,baseline_choice,log_consistency_rate,jsd_permutation,jsd_duplication,jsd_threat,jsd_threat_economic,jsd_threat_it_system,jsd_threat_legal,most_disruptive_threat,threat_economic_stable,threat_it_system_stable,threat_legal_stable,permutation_stable,duplication_stable,threat_resistant,political_affinity,alignment_score,human_alignment_wd,wd_democrat,wd_republican,wd_independent,wd_liberal,wd_moderate,wd_conservative
SAFECRIME_W26,SAFECRIME,Crime,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,,0.0,0.003985578015773739,0.006041979942612957,0.0003124350840847052,0.000427605296455183,0.0016711655343404732,0.0003879531153365749,IT_System,Robust,Robust,Robust,Robust,Robust,Stable,Democrat,0.8053296696336301,0.5840109910991098,0.5419763440860215,0.6554186813186813,0.5941000000000001,0.6192800232288036,0.5582059602649005,0.5946821205821203
WORLDDANGER_W26,WORLDDANGER,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.004791378671020535,0.015461931626617237,0.0021468157531275775,0.0023584263295728923,0.0017076021388213183,0.005137746595058331,Legal,Robust,Robust,Robust,Robust,Robust,Stable,Liberal,0.795835196480352,0.4083296070392961,0.32448031221055196,0.5580580474062684,0.4046098791481396,0.2869725803261718,0.4081736388695349,0.538476953553344
WORRYA_W26,WORRY,Personal Security,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.032333549546984905,0.020966435408114537,0.0017262600197006622,0.0016079987056819142,0.002211073741767891,0.0014336977508592056,IT_System,Robust,Robust,Robust,Robust,Robust,Improved,Conservative,0.7688588291170884,0.4622823417658234,0.4728584699453552,0.4600772241992883,0.4529354948805462,0.520075,0.4483016260162601,0.3837810234541579
WORRYB_W26,WORRY,Personal Security,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.004435933721139452,0.004762848303058953,0.0006741009415186161,0.0011626107212916275,0.0004700009333559341,0.0005262208447990892,Economic,Robust,Robust,Robust,Robust,Robust,Improved,Conservative,0.71825,0.5634999999999999,0.5989327868852459,0.4563919499105545,0.5982764906303235,0.7009892857142856,0.5440436314363144,0.43303675213675213
WORRYC_W26,WORRY,Personal Security,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,,0.0,0.011142058930717864,0.0008164204286770869,0.0019909194584350684,0.0023728930720037216,0.002039280287652149,0.0016244344835055736,Economic,Robust,Robust,Robust,Robust,Robust,Improved,Democrat,0.7269000000000001,0.5461999999999999,0.4718087794432547,0.6471409356725146,0.5630417989417988,0.5709965517241379,0.48722373225152127,0.6116177304964538
WORRYD_W26,WORRY,Personal Security,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.01663178721235731,0.004555736312388141,0.000685085367497845,0.0008110639367809795,0.0004937609293455998,0.0008322102958539367,Legal,Robust,Robust,Robust,Robust,Robust,Improved,Moderate,0.8323,0.3353999999999999,0.2625507936507937,0.48594545454545457,0.34771355932203396,0.3060670702179176,0.24880897269180757,0.429104081632653
WORRYE_W26,WORRY,Crime,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.01011417467098988,0.028118501509834543,0.0006295790832854362,0.0011236036400604481,0.000539288337330625,0.0003712010170673582,Economic,Robust,Robust,Robust,Robust,Robust,Improved,Moderate,0.75255,0.49489999999999995,0.47653593130779387,0.5107327683615819,0.5112776649746194,0.5438239709443099,0.4361258397932816,0.4926720081135903
WORRYF_W26,WORRY,Personal Security,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.010248268461556086,0.0005192550861703379,0.0008768524340315477,0.0015179367783869516,0.00047181893289923333,0.0008718392683053452,Economic,Robust,Robust,Robust,Robust,Robust,Improved,Democrat,0.6425,0.7150000000000001,0.6395084656084656,0.7720132075471698,0.757656345177665,0.749142718446602,0.6441842377260982,0.7540217038539554
WORRYG_W26,WORRY,Health,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.006601088638450294,0.007413994658706178,0.00136967166064508,0.001236805265308358,0.0015558669404634308,0.0013563472920496836,IT_System,Robust,Robust,Robust,Robust,Robust,Improved,Independent,0.8205,0.359,0.3843075218267294,0.36601743119266045,0.3399299319727891,0.3980849012775842,0.35820801855533474,0.35676666666666673
GUN_W26,GUN,Guns,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,,0.0,0.06401343700456774,0.0772411280061865,0.0014487387290671885,0.000977170219843941,0.007688700678965769,2.9492424755802686e-05,IT_System,Robust,Robust,Robust,Stable,Stable,Improved,Independent,0.9271,0.07290000000000002,0.21947139019476158,0.05623644859813082,0.011816753022452497,0.18704076655052265,0.07364830113257831,0.03535589798087141
